Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-6048,1.03,1.0,5.02,8:31:16 AM,1/23/2019,B,5,Produccion
118-6048,1.03,1.0,5.02,8:34:38 AM,1/23/2019,B,6,Produccion
118-6048,1.03,1.0,5.02,8:38:31 AM,1/23/2019,B,7,Produccion
118-6048,1.03,1.0,5.02,8:40:54 AM,1/23/2019,B,8,Produccion
118-6048,1.03,1.0,5.02,8:44:17 AM,1/23/2019,B,9,Produccion
118-6048,1.03,1.0,5.02,8:47:03 AM,1/23/2019,B,A,Produccion
118-6048,1.03,1.0,5.02,8:49:41 AM,1/23/2019,B,B,Produccion
118-6048,1.03,1.0,5.02,8:52:29 AM,1/23/2019,B,C,Produccion
118-6048,1.03,1.0,5.02,8:55:20 AM,1/23/2019,B,D,Produccion
118-6048,1.03,1.0,5.02,8:57:56 AM,1/23/2019,B,E,Produccion
118-6048,1.03,1.0,5.02,9:03:20 AM,1/23/2019,B,F,Produccion
118-6048,1.03,1.0,5.02,9:05:58 AM,1/23/2019,B,10,Produccion
118-6048,1.03,1.0,5.02,9:08:42 AM,1/23/2019,B,11,Produccion
118-6048,1.03,1.0,5.02,9:11:11 AM,1/23/2019,B,12,Produccion
118-6048,1.03,1.0,5.02,9:13:45 AM,1/23/2019,B,13,Produccion
118-6048,1.03,1.0,5.02,9:16:18 AM,1/23/2019,B,14,Produccion
118-6048,1.03,1.0,5.02,9:18:53 AM,1/23/2019,B,15,Produccion
118-6048,1.03,1.0,5.02,9:21:39 AM,1/23/2019,B,16,Produccion
118-6048,1.03,1.0,5.02,9:24:11 AM,1/23/2019,B,17,Produccion
118-6048,1.03,1.0,5.02,9:27:05 AM,1/23/2019,B,18,Produccion
118-6048,1.03,1.0,5.02,9:32:36 AM,1/23/2019,B,19,Produccion
118-6048,1.03,1.0,5.02,9:35:19 AM,1/23/2019,B,1A,Produccion
118-6048,1.03,1.0,5.02,9:37:50 AM,1/23/2019,B,1B,Produccion
118-6048,1.03,1.0,5.02,9:40:48 AM,1/23/2019,B,1C,Produccion
118-6048,1.03,1.0,5.02,9:43:23 AM,1/23/2019,B,1D,Produccion
118-6048,1.03,1.0,5.02,9:45:57 AM,1/23/2019,B,1E,Produccion
118-6048,1.03,1.0,5.02,9:56:59 AM,1/23/2019,B,1F,Produccion
118-6048,1.03,1.0,5.02,9:59:54 AM,1/23/2019,B,20,Produccion
118-6048,1.03,1.0,5.02,10:03:22 AM,1/23/2019,B,21,Produccion
118-6048,1.03,1.0,5.02,10:06:58 AM,1/23/2019,B,22,Produccion
118-6048,1.03,1.0,5.02,10:14:46 AM,1/23/2019,B,23,Produccion
118-6048,1.03,1.0,5.02,10:17:21 AM,1/23/2019,B,24,Produccion
118-6048,1.03,1.0,5.02,10:19:57 AM,1/23/2019,B,25,Produccion
118-6048,1.03,1.0,5.02,10:22:41 AM,1/23/2019,B,26,Produccion
118-6048,1.03,1.0,5.02,10:25:28 AM,1/23/2019,B,27,Produccion
118-6048,1.03,1.0,5.02,10:28:01 AM,1/23/2019,B,28,Produccion
118-6048,1.03,1.0,5.02,10:30:47 AM,1/23/2019,B,29,Produccion
118-6048,1.03,1.0,5.02,10:33:46 AM,1/23/2019,B,2A,Produccion
118-6048,1.03,1.0,5.02,10:36:45 AM,1/23/2019,B,2B,Produccion
118-6048,1.03,1.0,5.02,10:40:52 AM,1/23/2019,B,2C,Produccion
118-6048,1.03,1.0,5.02,10:44:48 AM,1/23/2019,B,2D,Produccion
118-6048,1.03,1.0,5.02,10:47:22 AM,1/23/2019,B,2E,Produccion
118-6048,1.03,1.0,5.02,10:49:58 AM,1/23/2019,B,2F,Produccion
118-6048,1.03,1.0,5.02,10:52:40 AM,1/23/2019,B,30,Produccion
118-6048,1.03,1.0,5.02,10:56:25 AM,1/23/2019,B,31,Produccion
118-6048,1.03,1.0,5.02,10:59:10 AM,1/23/2019,B,32,Produccion
118-6048,1.03,1.0,5.02,11:01:44 AM,1/23/2019,B,33,Produccion
118-6048,1.03,1.0,5.02,11:04:13 AM,1/23/2019,B,34,Produccion
118-6048,1.03,1.0,5.02,11:06:50 AM,1/23/2019,B,35,Produccion
118-6048,1.03,1.0,5.02,11:09:32 AM,1/23/2019,B,36,Produccion
118-6048,1.03,1.0,5.02,11:12:18 AM,1/23/2019,B,37,Produccion
118-6048,1.03,1.0,5.02,11:14:53 AM,1/23/2019,B,38,Produccion
118-6048,1.03,1.0,5.02,11:17:25 AM,1/23/2019,B,39,Produccion
118-6048,1.03,1.0,5.02,11:19:59 AM,1/23/2019,B,3A,Produccion
118-6048,1.03,1.0,5.02,11:22:29 AM,1/23/2019,B,3B,Produccion
118-6048,1.03,1.0,5.02,11:25:01 AM,1/23/2019,B,3C,Produccion
118-6048,1.03,1.0,5.02,11:27:34 AM,1/23/2019,B,3D,Produccion
118-6048,1.03,1.0,5.02,11:30:13 AM,1/23/2019,B,3E,Produccion
118-6048,1.03,1.0,5.02,11:33:06 AM,1/23/2019,B,3F,Produccion
118-6048,1.03,1.0,5.02,11:35:44 AM,1/23/2019,B,40,Produccion
118-6048,1.03,1.0,5.02,11:38:15 AM,1/23/2019,B,41,Produccion
118-6048,1.03,1.0,5.02,12:13:02 PM,1/23/2019,B,42,Produccion
118-6048,1.03,1.0,5.02,12:16:01 PM,1/23/2019,B,43,Produccion
118-6048,1.03,1.0,5.02,12:20:15 PM,1/23/2019,B,44,Produccion
118-6048,1.03,1.0,5.02,12:23:16 PM,1/23/2019,B,45,Produccion
118-6048,1.03,1.0,5.02,12:26:28 PM,1/23/2019,B,46,Produccion
118-6048,1.03,1.0,5.02,12:34:46 PM,1/23/2019,B,47,Produccion
118-6048,1.03,1.0,5.02,12:37:32 PM,1/23/2019,B,48,Produccion
118-6048,1.03,1.0,5.02,12:40:42 PM,1/23/2019,B,49,Produccion
118-6048,1.03,1.0,5.02,12:43:19 PM,1/23/2019,B,4A,Produccion
118-6048,1.03,1.0,5.02,12:45:57 PM,1/23/2019,B,4B,Produccion
118-6048,1.03,1.0,5.02,12:48:35 PM,1/23/2019,B,4C,Produccion
118-6048,1.03,1.0,5.02,12:51:27 PM,1/23/2019,B,4D,Produccion
118-6048,1.03,1.0,5.02,12:54:00 PM,1/23/2019,B,4E,Produccion
