Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-6048,1.03,1.0,5.02,12:56:33 PM,1/23/2019,B,4F,Produccion
118-6048,1.03,1.0,5.02,12:59:14 PM,1/23/2019,B,50,Produccion
118-6048,1.03,1.0,5.02,1:01:48 PM,1/23/2019,B,51,Produccion
118-6048,1.03,1.0,5.02,1:04:28 PM,1/23/2019,B,52,Produccion
118-6048,1.03,1.0,5.02,1:07:01 PM,1/23/2019,B,53,Produccion
118-6048,1.03,1.0,5.02,1:09:35 PM,1/23/2019,B,54,Produccion
118-6048,1.03,1.0,5.02,1:12:14 PM,1/23/2019,B,55,Produccion
118-6048,1.03,1.0,5.02,1:15:16 PM,1/23/2019,B,56,Produccion
118-6048,1.03,1.0,5.02,1:17:51 PM,1/23/2019,B,57,Produccion
118-6048,1.03,1.0,5.02,1:20:30 PM,1/23/2019,B,58,Produccion
118-6048,1.03,1.0,5.02,1:23:05 PM,1/23/2019,B,59,Produccion
118-6048,1.03,1.0,5.02,1:25:44 PM,1/23/2019,B,5A,Produccion
118-6048,1.03,1.0,5.02,1:28:16 PM,1/23/2019,B,5B,Produccion
118-6048,1.03,1.0,5.02,1:30:55 PM,1/23/2019,B,5C,Produccion
118-6048,1.03,1.0,5.02,1:33:55 PM,1/23/2019,B,5D,Produccion
118-6048,1.03,1.0,5.02,1:46:46 PM,1/23/2019,B,5E,Produccion
118-6048,1.03,1.0,5.02,1:49:38 PM,1/23/2019,B,5F,Produccion
118-6048,1.03,1.0,5.02,1:52:16 PM,1/23/2019,B,60,Produccion
118-6048,1.03,1.0,5.02,1:54:51 PM,1/23/2019,B,61,Produccion
118-6048,1.03,1.0,5.02,1:57:27 PM,1/23/2019,B,62,Produccion
118-6048,1.03,1.0,5.02,2:00:01 PM,1/23/2019,B,63,Produccion
118-6048,1.03,1.0,5.02,2:02:37 PM,1/23/2019,B,64,Produccion
118-6048,1.03,1.0,5.02,2:09:17 PM,1/23/2019,B,65,Produccion
118-6048,1.03,1.0,5.02,2:14:20 PM,1/23/2019,B,66,Produccion
118-6048,1.03,1.0,5.02,2:16:59 PM,1/23/2019,B,67,Produccion
118-6048,1.03,1.0,5.02,2:19:56 PM,1/23/2019,B,68,Produccion
118-6048,1.03,1.0,5.02,2:22:33 PM,1/23/2019,B,69,Produccion
118-6048,1.03,1.0,5.02,2:25:13 PM,1/23/2019,B,6A,Produccion
118-6048,1.03,1.0,5.02,2:27:46 PM,1/23/2019,B,6B,Produccion
118-6048,1.03,1.0,5.02,2:30:23 PM,1/23/2019,B,6C,Produccion
118-6048,1.03,1.0,5.02,2:33:57 PM,1/23/2019,B,6D,Produccion
118-6048,1.03,1.0,5.02,2:36:36 PM,1/23/2019,B,6E,Produccion
118-6048,1.03,1.0,5.02,2:39:27 PM,1/23/2019,B,6F,Produccion
118-6048,1.03,1.0,5.02,2:44:08 PM,1/23/2019,B,70,Produccion
118-6048,1.03,1.0,5.02,2:46:40 PM,1/23/2019,B,71,Produccion
118-6048,1.03,1.0,5.02,2:49:18 PM,1/23/2019,B,72,Produccion
118-6048,1.03,1.0,5.02,2:51:48 PM,1/23/2019,B,73,Produccion
118-6048,1.03,1.0,5.02,2:54:20 PM,1/23/2019,B,74,Produccion
118-6048,1.03,1.0,5.02,2:56:50 PM,1/23/2019,B,75,Produccion
118-6048,1.03,1.0,5.02,2:59:19 PM,1/23/2019,B,76,Produccion
118-6048,1.03,1.0,5.02,3:01:52 PM,1/23/2019,B,77,Produccion
118-6048,1.03,1.0,5.02,3:04:23 PM,1/23/2019,B,78,Produccion
118-6048,1.03,1.0,5.02,3:06:54 PM,1/23/2019,B,79,Produccion
118-6048,1.03,1.0,5.02,3:09:26 PM,1/23/2019,B,7A,Produccion
118-6048,1.03,1.0,5.02,3:12:02 PM,1/23/2019,B,7B,Produccion
118-6048,1.03,1.0,5.02,3:14:37 PM,1/23/2019,B,7C,Produccion
118-6048,1.03,1.0,5.02,3:17:13 PM,1/23/2019,B,7D,Produccion
118-6048,1.03,1.0,5.02,3:19:49 PM,1/23/2019,B,7E,Produccion
118-6048,1.03,1.0,5.02,3:22:27 PM,1/23/2019,B,7F,Produccion
118-6048,1.03,1.0,5.02,3:25:17 PM,1/23/2019,B,80,Produccion
118-6048,1.03,1.0,5.02,3:27:47 PM,1/23/2019,B,81,Produccion
118-6048,1.03,1.0,5.02,3:30:33 PM,1/23/2019,B,82,Produccion
118-6048,1.03,1.0,5.02,3:33:18 PM,1/23/2019,B,83,Produccion
118-6048,1.03,1.0,5.02,3:35:54 PM,1/23/2019,B,84,Produccion
118-6048,1.03,1.0,5.02,3:38:32 PM,1/23/2019,B,85,Produccion
102-9739,1.03,1.0,1.03,3:48:01 PM,1/23/2019,B,E,Produccion
102-9739,1.03,1.0,1.03,3:50:49 PM,1/23/2019,B,F,Produccion
102-9739,1.03,1.0,1.03,3:55:55 PM,1/23/2019,B,10,Produccion
102-9739,1.03,1.0,1.03,4:04:41 PM,1/23/2019,B,11,Produccion
102-9739,1.03,1.0,1.03,4:07:18 PM,1/23/2019,B,12,Produccion
102-9739,1.03,1.0,1.03,4:35:18 PM,1/23/2019,B,13,Produccion
102-9739,1.03,1.0,1.03,4:43:38 PM,1/23/2019,B,14,Produccion
102-9739,1.03,1.0,1.03,5:30:10 PM,1/23/2019,B,15,Produccion
102-9739,1.03,1.0,1.03,5:44:52 PM,1/23/2019,B,16,Produccion
102-9739,1.03,1.0,1.03,5:47:14 PM,1/23/2019,B,17,Produccion
102-9739,1.03,1.0,1.03,5:49:42 PM,1/23/2019,B,18,Produccion
102-9739,1.03,1.0,1.03,5:55:36 PM,1/23/2019,B,19,Produccion
102-9739,1.03,1.0,1.03,5:58:13 PM,1/23/2019,B,1A,Produccion
102-9739,1.03,1.0,1.03,6:00:52 PM,1/23/2019,B,1B,Produccion
102-9739,1.03,1.0,1.03,6:03:18 PM,1/23/2019,B,1C,Produccion
102-9739,1.03,1.0,1.03,6:05:41 PM,1/23/2019,B,1D,Produccion
102-9739,1.03,1.0,1.03,6:10:15 PM,1/23/2019,B,1E,Produccion
102-9739,1.03,1.0,1.03,6:12:39 PM,1/23/2019,B,1F,Produccion
102-9739,1.03,1.0,1.03,6:15:02 PM,1/23/2019,B,20,Produccion
102-9739,1.03,1.0,1.03,6:18:45 PM,1/23/2019,B,21,Produccion
102-9739,1.03,1.0,1.03,6:21:59 PM,1/23/2019,B,22,Produccion
102-9739,1.03,1.0,1.03,6:24:27 PM,1/23/2019,B,23,Produccion
102-9739,1.03,1.0,1.03,6:26:50 PM,1/23/2019,B,24,Produccion
102-9739,1.03,1.0,1.03,6:29:10 PM,1/23/2019,B,25,Produccion
102-9739,1.03,1.0,1.03,6:33:40 PM,1/23/2019,B,26,Produccion
102-9739,1.03,1.0,1.03,6:49:43 PM,1/23/2019,B,27,Produccion
102-9739,1.03,1.0,1.03,6:52:11 PM,1/23/2019,B,28,Produccion
102-9739,1.03,1.0,1.03,6:54:32 PM,1/23/2019,B,29,Produccion
102-9739,1.03,1.0,1.03,6:57:00 PM,1/23/2019,B,2A,Produccion
102-9739,1.03,1.0,1.03,6:59:23 PM,1/23/2019,B,2B,Produccion
102-9739,1.03,1.0,1.03,7:01:51 PM,1/23/2019,B,2C,Produccion
102-9739,1.03,1.0,1.03,7:04:12 PM,1/23/2019,B,2D,Produccion
102-9739,1.03,1.0,1.03,7:06:41 PM,1/23/2019,B,2E,Produccion
102-9739,1.03,1.0,1.03,7:09:05 PM,1/23/2019,B,2F,Produccion
102-9739,1.03,1.0,1.03,7:11:34 PM,1/23/2019,B,30,Produccion
102-9739,1.03,1.0,1.03,7:17:04 PM,1/23/2019,B,31,Produccion
102-9739,1.03,1.0,1.03,7:20:28 PM,1/23/2019,B,32,Produccion
102-9739,1.03,1.0,1.03,7:22:50 PM,1/23/2019,B,33,Produccion
102-9739,1.03,1.0,1.03,7:30:01 PM,1/23/2019,B,34,Produccion
102-9739,1.03,1.0,1.03,7:32:27 PM,1/23/2019,B,35,Produccion
102-9739,1.03,1.0,1.03,7:34:53 PM,1/23/2019,B,36,Produccion
102-9739,1.03,1.0,1.03,7:37:21 PM,1/23/2019,B,37,Produccion
102-9739,1.03,1.0,1.03,7:40:33 PM,1/23/2019,B,38,Produccion
102-9739,1.03,1.0,1.03,7:43:03 PM,1/23/2019,B,39,Produccion
