Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-6048,1.03,1.0,5.02,6:41:42 AM,1/25/2019,B,86,Produccion
118-4719,1.03,1.0,1.04,3:42:56 PM,1/25/2019,B,2F,Produccion
118-4719,1.03,1.0,1.04,3:45:55 PM,1/25/2019,B,30,Produccion
118-4719,1.03,1.0,1.04,3:48:31 PM,1/25/2019,B,31,Produccion
118-4719,1.03,1.0,1.04,3:51:55 PM,1/25/2019,B,32,Produccion
118-4719,1.03,1.0,1.04,3:54:43 PM,1/25/2019,B,33,Produccion
118-4719,1.03,1.0,1.04,5:13:25 PM,1/25/2019,B,34,Produccion
118-4719,1.03,1.0,1.04,5:16:53 PM,1/25/2019,B,35,Produccion
118-4719,1.03,1.0,1.04,5:19:57 PM,1/25/2019,B,36,Produccion
118-4719,1.03,1.0,1.04,5:22:53 PM,1/25/2019,B,37,Produccion
118-4719,1.03,1.0,1.04,5:26:04 PM,1/25/2019,B,38,Produccion
118-4719,1.03,1.0,1.04,5:28:46 PM,1/25/2019,B,39,Produccion
118-4719,1.03,1.0,1.04,5:31:08 PM,1/25/2019,B,3A,Produccion
118-4719,1.03,1.0,1.04,5:33:30 PM,1/25/2019,B,3B,Produccion
118-4719,1.03,1.0,1.04,5:36:28 PM,1/25/2019,B,3C,Produccion
118-4719,1.03,1.0,1.04,5:40:09 PM,1/25/2019,B,3D,Produccion
118-4719,1.03,1.0,1.04,5:43:01 PM,1/25/2019,B,3E,Produccion
118-4719,1.03,1.0,1.04,5:45:31 PM,1/25/2019,B,3F,Produccion
118-4719,1.03,1.0,1.04,5:47:56 PM,1/25/2019,B,40,Produccion
118-4719,1.03,1.0,1.04,5:50:17 PM,1/25/2019,B,41,Produccion
118-4719,1.03,1.0,1.04,5:52:57 PM,1/25/2019,B,42,Produccion
118-4719,1.03,1.0,1.04,5:55:29 PM,1/25/2019,B,43,Produccion
118-4719,1.03,1.0,1.04,5:58:19 PM,1/25/2019,B,44,Produccion
118-4719,1.03,1.0,1.04,6:01:00 PM,1/25/2019,B,45,Produccion
118-4719,1.03,1.0,1.04,6:03:25 PM,1/25/2019,B,46,Produccion
118-4719,1.03,1.0,1.04,6:05:59 PM,1/25/2019,B,47,Produccion
118-4719,1.03,1.0,1.04,6:09:03 PM,1/25/2019,B,48,Produccion
