Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
102-9739,1.03,1.0,1.02,10:36:23 AM,10/5/2018,1,1,Ivan Reyez
102-9739,1.03,1.0,1.02,11:20:08 AM,10/5/2018,1,2,Ivan Reyez
102-9739,1.03,1.0,1.02,12:12:26 PM,10/5/2018,1,3,Ivan Reyez
102-9739,1.03,1.0,1.02,12:14:47 PM,10/5/2018,1,4,Ivan Reyez
102-9739,1.03,1.0,1.02,12:59:13 PM,10/5/2018,1,5,Ivan Reyez
102-9739,1.03,1.0,1.02,1:03:55 PM,10/5/2018,B,1,Ivan Reyez
102-9739,1.03,1.0,1.02,1:06:09 PM,10/5/2018,B,2,Ivan Reyez
102-9739,1.03,1.0,1.02,1:20:01 PM,10/5/2018,B,3,Ivan Reyez
118-6048,1.03,1.0,5.02,1:25:32 PM,10/5/2018,B,1,Ivan Reyez
118-6048,1.03,1.0,5.02,1:28:04 PM,10/5/2018,B,2,Ivan Reyez
102-9739,1.03,1.0,1.02,1:53:56 PM,10/5/2018,B,4,Ivan
