Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-4852,1.03,1.0,4.7,11:22:13 AM,12/21/2018,B,4,Iva
118-4852,1.03,1.0,4.7,11:31:17 AM,12/21/2018,B,5,Iva
118-4852,1.03,1.0,4.7,12:18:41 PM,12/21/2018,B,6,Iva
118-4852,1.03,1.0,4.7,12:23:34 PM,12/21/2018,B,7,Iva
118-4852,1.03,1.0,4.7,12:31:45 PM,12/21/2018,B,8,Iva
118-4852,1.03,1.0,4.7,12:36:54 PM,12/21/2018,B,9,Iva
118-4852,1.03,1.0,4.7,12:42:11 PM,12/21/2018,B,A,Iva
118-4852,1.03,1.0,4.7,12:47:09 PM,12/21/2018,B,B,Iva
118-4852,1.03,1.0,4.7,12:51:26 PM,12/21/2018,B,C,Iva
118-4852,1.03,1.0,4.7,12:56:22 PM,12/21/2018,B,D,Iva
118-4852,1.03,1.0,4.7,1:01:14 PM,12/21/2018,B,E,Iva
118-4852,1.03,1.0,4.7,1:06:18 PM,12/21/2018,B,F,Iva
118-4852,1.03,1.0,4.7,1:11:10 PM,12/21/2018,B,10,Iva
118-4852,1.03,1.0,4.7,1:16:01 PM,12/21/2018,B,11,Iva
118-4852,1.03,1.0,4.7,1:21:48 PM,12/21/2018,B,12,Iva
118-4852,1.03,1.0,4.7,1:28:48 PM,12/21/2018,B,13,Iva
118-4852,1.03,1.0,4.7,1:48:38 PM,12/21/2018,B,14,Iva
118-4852,1.03,1.0,4.7,1:51:15 PM,12/21/2018,B,15,Iva
118-4852,1.03,1.0,4.7,1:53:38 PM,12/21/2018,B,16,Iva
118-4852,1.03,1.0,4.7,1:57:58 PM,12/21/2018,B,17,Iva
118-4852,1.03,1.0,4.7,2:02:41 PM,12/21/2018,B,18,Iva
118-4852,1.03,1.0,4.7,2:08:25 PM,12/21/2018,B,19,Iva
118-4852,1.03,1.0,4.7,2:12:59 PM,12/21/2018,B,1A,Iva
118-4852,1.03,1.0,4.7,2:17:48 PM,12/21/2018,B,1B,Iva
118-4852,1.03,1.0,4.7,2:22:42 PM,12/21/2018,B,1C,Iva
118-4852,1.03,1.0,4.7,2:27:46 PM,12/21/2018,B,1D,Iva
118-4852,1.03,1.0,4.7,2:32:38 PM,12/21/2018,B,1E,Iva
118-4852,1.03,1.0,4.7,2:36:58 PM,12/21/2018,B,1F,Iva
118-4852,1.03,1.0,4.7,3:21:39 PM,12/21/2018,B,20,Iva
118-4852,1.03,1.0,4.7,3:26:09 PM,12/21/2018,B,21,Iva
118-4852,1.03,1.0,4.7,3:30:42 PM,12/21/2018,B,22,Iva
118-4852,1.03,1.0,4.7,3:33:17 PM,12/21/2018,B,23,Iva
