Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-4852,1.03,1.0,4.7,7:08:46 AM,1/3/2019,B,24,Produccion
118-4852,1.03,1.0,4.7,7:13:14 AM,1/3/2019,B,25,Produccion
118-4852,1.03,1.0,4.7,7:17:33 AM,1/3/2019,B,26,Produccion
118-4852118-4852,1.03,1.0,4.7,7:22:38 AM,1/3/2019,B,27,Produccion
118-4852,1.03,1.0,4.7,7:27:38 AM,1/3/2019,B,28,Produccion
118-4852,1.03,1.0,4.7,7:32:05 AM,1/3/2019,B,29,Produccion
118-4852,1.03,1.0,4.7,7:36:57 AM,1/3/2019,B,2A,Produccion
118-4852,1.03,1.0,4.7,7:43:04 AM,1/3/2019,B,2B,Produccion
118-4852,1.03,1.0,4.7,8:07:22 AM,1/3/2019,B,2C,Produccion
118-4852,1.03,1.0,4.7,8:11:47 AM,1/3/2019,B,2D,Produccion
118-4852,1.03,1.0,4.7,8:15:59 AM,1/3/2019,B,2E,Produccion
118-4852,1.03,1.0,4.7,8:20:23 AM,1/3/2019,B,2F,Produccion
118-4852,1.03,1.0,4.7,8:24:33 AM,1/3/2019,B,30,Produccion
118-4852,1.03,1.0,4.7,8:28:44 AM,1/3/2019,B,31,Produccion
118-4852,1.03,1.0,4.7,8:48:35 AM,1/3/2019,B,32,Produccion
118-4852,1.03,1.0,4.7,8:52:53 AM,1/3/2019,B,33,Produccion
118-4852,1.03,1.0,4.7,8:57:06 AM,1/3/2019,B,34,Produccion
118-4852,1.03,1.0,4.7,9:03:32 AM,1/3/2019,B,35,Produccion
118-4852,1.03,1.0,4.7,9:12:21 AM,1/3/2019,B,36,Produccion
118-4852,1.03,1.0,4.7,9:16:34 AM,1/3/2019,B,37,Produccion
118-4852,1.03,1.0,4.7,9:20:42 AM,1/3/2019,B,38,Produccion
118-4852,1.03,1.0,4.7,9:25:04 AM,1/3/2019,B,39,Produccion
118-4852,1.03,1.0,4.7,9:34:10 AM,1/3/2019,B,3A,Produccion
118-4852,1.03,1.0,4.7,9:38:21 AM,1/3/2019,B,3B,Produccion
118-4852,1.03,1.0,4.7,9:49:15 AM,1/3/2019,B,3C,Produccion
