Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-0582,1.03,--,4.01,10:38:49 AM,4/11/2019,11,1,Iva
118-3378,1.03,1.0,2.02,1:13:26 PM,4/11/2019,A,1,Iva
118-0582,1.03,--,4.01,1:16:58 PM,4/11/2019,11,2,Iva
118-4294,1.03,--,4.01,1:19:42 PM,4/11/2019,11,1,Iva
118-2919,1.03,--,1.01,1:21:56 PM,4/11/2019,6,1,Iva
118-2919,1.03,--,1.01,1:47:45 PM,4/11/2019,6,2,Iva
118-4294,1.03,--,7.012,1:50:51 PM,4/11/2019,11,2,Iva
118-0582,1.03,--,4.01,1:53:44 PM,4/11/2019,11,3,Iva
118-3378,1.03,1.0,2.02,1:56:58 PM,4/11/2019,A,2,Iva
