Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
102-9739,1.03,1.0,1.03,1:25:34 PM,1/24/2019,B,3A,Produccion
118-4852,1.03,1.0,4.7,1:51:49 PM,1/24/2019,B,3D,Produccion
118-4852,1.03,1.0,4.7,1:56:29 PM,1/24/2019,B,3E,Produccion
118-4852,1.03,1.0,4.7,1:58:46 PM,1/24/2019,B,3F,Produccion
118-4852,1.03,1.0,4.7,2:04:16 PM,1/24/2019,B,40,Produccion
118-4852,1.03,1.0,4.7,2:21:53 PM,1/24/2019,B,41,Produccion
118-4852,1.03,1.0,4.7,2:40:15 PM,1/24/2019,B,42,Produccion
118-4852,1.03,1.0,4.7,2:47:12 PM,1/24/2019,B,43,Produccion
118-4852,1.03,1.0,4.7,2:52:51 PM,1/24/2019,B,44,Produccion
118-4852,1.03,1.0,4.7,2:55:39 PM,1/24/2019,B,45,Produccion
