Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-4719,1.03,1.0,1.04,12:54:57 PM,1/4/2019,B,6,Produccion
118-4719,1.03,1.0,1.04,12:57:42 PM,1/4/2019,B,7,Produccion
118-4719,1.03,1.0,1.04,1:00:23 PM,1/4/2019,B,8,Produccion
118-4719,1.03,1.0,1.04,1:03:12 PM,1/4/2019,B,9,Produccion
118-4719,1.03,1.0,1.04,1:05:35 PM,1/4/2019,B,A,Produccion
118-4719,1.03,1.0,1.04,1:08:40 PM,1/4/2019,B,B,Produccion
118-4719,1.03,1.0,1.04,1:11:06 PM,1/4/2019,B,C,Produccion
118-4719,1.03,1.0,1.04,1:13:30 PM,1/4/2019,B,D,Produccion
118-4719,1.03,1.0,1.04,1:15:54 PM,1/4/2019,B,E,Produccion
118-4719,1.03,1.0,1.04,1:18:27 PM,1/4/2019,B,F,Produccion
118-4719,1.03,1.0,1.04,1:21:07 PM,1/4/2019,B,10,Produccion
118-4719,1.03,1.0,1.04,1:24:06 PM,1/4/2019,B,11,Produccion
118-4719,1.03,1.0,1.04,1:26:42 PM,1/4/2019,B,12,Produccion
118-4719,1.03,1.0,1.04,1:29:26 PM,1/4/2019,B,13,Produccion
118-4719,1.03,1.0,1.04,1:32:35 PM,1/4/2019,B,14,Produccion
118-4719,1.03,1.0,1.04,1:35:04 PM,1/4/2019,B,15,Produccion
118-4719,1.03,1.0,1.04,1:54:25 PM,1/4/2019,B,16,Produccion
118-4719,1.03,1.0,1.04,1:56:48 PM,1/4/2019,B,17,Produccion
118-4719,1.03,1.0,1.04,1:59:13 PM,1/4/2019,B,18,Produccion
118-4719,1.03,1.0,1.04,2:01:38 PM,1/4/2019,B,19,Produccion
118-4719,1.03,1.0,1.04,2:05:33 PM,1/4/2019,B,1A,Produccion
118-4719,1.03,1.0,1.04,2:08:11 PM,1/4/2019,B,1B,Produccion
118-4719,1.03,1.0,1.04,2:10:45 PM,1/4/2019,B,1C,Produccion
118-4719,1.03,1.0,1.04,2:13:29 PM,1/4/2019,B,1D,Produccion
118-4719,1.03,1.0,1.04,2:16:06 PM,1/4/2019,B,1E,Produccion
118-4719,1.03,1.0,1.04,2:18:25 PM,1/4/2019,B,1F,Produccion
118-4719,1.03,1.0,1.04,2:21:42 PM,1/4/2019,B,20,Produccion
118-4719,1.03,1.0,1.04,2:24:12 PM,1/4/2019,B,21,Produccion
118-4719,1.03,1.0,1.04,2:26:39 PM,1/4/2019,B,22,Produccion
118-4719,1.03,1.0,1.04,2:29:11 PM,1/4/2019,B,23,Produccion
118-4719,1.03,1.0,1.04,2:31:50 PM,1/4/2019,B,24,Produccion
118-4719,1.03,1.0,1.04,2:34:56 PM,1/4/2019,B,25,Produccion
118-4719,1.03,1.0,1.04,2:38:00 PM,1/4/2019,B,26,Produccion
118-4719,1.03,1.0,1.04,2:47:16 PM,1/4/2019,B,27,Produccion
118-4719,1.03,1.0,1.04,2:49:40 PM,1/4/2019,B,28,Produccion
118-4719,1.03,1.0,1.04,2:51:56 PM,1/4/2019,B,29,Produccion
118-4719,1.03,1.0,1.04,2:54:17 PM,1/4/2019,B,2A,Produccion
118-4719,1.03,1.0,1.04,2:56:33 PM,1/4/2019,B,2B,Produccion
118-4719,1.03,1.0,1.04,2:58:53 PM,1/4/2019,B,2C,Produccion
118-4719,1.03,1.0,1.04,3:01:28 PM,1/4/2019,B,2D,Produccion
