Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-4719,1.03,1.0,1.04,10:26:42 AM,1/30/2019,B,49,Iva
118-4719,1.03,1.0,1.04,10:31:36 AM,1/30/2019,B,4A,Iva
118-4719,1.03,1.0,1.04,10:34:54 AM,1/30/2019,B,4B,Iva
118-4719,1.03,1.0,1.04,10:37:47 AM,1/30/2019,B,4C,Iva
118-4719,1.03,1.0,1.04,10:40:45 AM,1/30/2019,B,4D,Iva
118-4719,1.03,1.0,1.04,10:44:01 AM,1/30/2019,B,4E,Iva
118-4719,1.03,1.0,1.04,10:46:56 AM,1/30/2019,B,4F,Iva
118-4719,1.03,1.0,1.04,10:49:56 AM,1/30/2019,B,50,Iva
118-4719,1.03,1.0,1.04,10:55:57 AM,1/30/2019,B,51,Iva
118-4719,1.03,1.0,1.04,11:00:54 AM,1/30/2019,B,52,Iva
118-4719,1.03,1.0,1.04,11:03:37 AM,1/30/2019,B,53,Iva
118-4719,1.03,1.0,1.04,11:07:43 AM,1/30/2019,B,54,Iva
118-4719,1.03,1.0,1.04,11:11:56 AM,1/30/2019,B,55,Iva
118-4719,1.03,1.0,1.04,11:16:53 AM,1/30/2019,B,56,Iva
118-4719,1.03,1.0,1.04,11:19:57 AM,1/30/2019,B,57,Iva
118-4719,1.03,1.0,1.04,11:26:20 AM,1/30/2019,B,58,Iva
118-4719,1.03,1.0,1.04,11:30:51 AM,1/30/2019,B,59,Iva
118-4719,1.03,1.0,1.04,11:36:03 AM,1/30/2019,B,5A,Iva
