Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-6048,1.03,1.0,5.02,1:13:00 PM,2/12/2019,B,9A,Produccion
118-6048,1.03,1.0,5.02,1:26:47 PM,2/12/2019,B,9B,Produccion
118-4852,1.03,1.0,4.7,1:49:20 PM,2/12/2019,B,46,Produccion
118-4852,1.03,1.0,4.7,1:52:17 PM,2/12/2019,B,47,Produccion
118-4719,1.03,1.0,1.04,1:55:22 PM,2/12/2019,B,5B,Produccion
118-4719,1.03,1.0,1.04,1:58:04 PM,2/12/2019,B,5C,Produccion
102-9739,1.03,1.0,1.03,2:08:09 PM,2/12/2019,B,3B,Produccion
102-9739,1.03,1.0,1.03,2:10:41 PM,2/12/2019,B,3C,Produccion
102-9739,1.03,1.0,1.03,2:13:04 PM,2/12/2019,B,3D,Produccion
102-9739,1.03,1.0,1.03,2:15:26 PM,2/12/2019,B,3E,Produccion
102-9739,1.03,1.0,1.03,2:17:47 PM,2/12/2019,B,3F,Produccion
102-9739,1.03,1.0,1.03,2:20:08 PM,2/12/2019,B,40,Produccion
102-9739,1.03,1.0,1.03,2:22:28 PM,2/12/2019,B,41,Produccion
102-9739,1.03,1.0,1.03,2:24:50 PM,2/12/2019,B,42,Produccion
102-9739,1.03,1.0,1.03,2:27:10 PM,2/12/2019,B,43,Produccion
102-9739,1.03,1.0,1.03,2:29:28 PM,2/12/2019,B,44,Produccion
102-9739,1.03,1.0,1.03,2:31:50 PM,2/12/2019,B,45,Produccion
102-9739,1.03,1.0,1.03,2:34:16 PM,2/12/2019,B,46,Produccion
102-9739,1.03,1.0,1.03,2:36:35 PM,2/12/2019,B,47,Produccion
102-9739,1.03,1.0,1.03,2:38:56 PM,2/12/2019,B,48,Produccion
