Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
102-9739,--,--,--,11:32:46 AM,10/4/2018,1,65000,Ivan Reyez
102-9739,1.03,1.0,1.02,11:34:58 AM,10/4/2018,1,65000,Ivan Reyez
102-9739,1.03,1.0,1.02,11:36:28 AM,10/4/2018,1,FDE8,Ivan Reyez
