Modelo,Bootloader,Flash,Firmware,Hora,Fecha
102-9739,1.03,1.0,1.02,11:02:37 AM,9/8/2018
102-9739,1.03,1.0,1.02,11:06:02 AM,9/8/2018
102-9739,1.03,1.0,1.02,11:11:07 AM,9/8/2018
102-9739,1.03,1.0,1.02,11:37:55 AM,9/8/2018
102-9739,1.03,1.0,1.02,11:41:12 AM,9/8/2018
